call_id,agent_id,call_date,handle_time_sec,csat_score,resolved,sla_met
78,17,2024-02-07,245,4,t,t
79,17,2024-02-20,230,5,t,t
80,17,2024-03-05,240,4,t,t
81,20,2024-01-09,475,2,f,f
82,20,2024-01-21,505,1,f,f
83,20,2024-02-11,490,2,f,f
84,20,2024-02-25,515,1,f,f
85,20,2024-03-10,500,2,f,f
86,21,2024-01-06,290,3,t,t
87,21,2024-01-17,310,3,t,t
88,21,2024-02-06,300,3,t,f
89,21,2024-02-19,320,2,f,f
90,21,2024-03-04,305,3,t,t
91,22,2024-01-08,295,3,t,t
92,22,2024-01-19,315,3,t,t
93,22,2024-02-08,305,3,t,f
94,22,2024-02-21,325,2,f,f
95,22,2024-03-06,310,3,t,t
96,25,2024-01-10,480,2,f,f
97,25,2024-01-22,510,1,f,f
98,25,2024-02-12,495,2,f,f
99,25,2024-02-26,520,1,f,f
100,25,2024-03-11,505,2,f,f
101,13,2023-09-01,385,2,f,f
102,13,2023-09-15,405,1,f,f
103,13,2023-10-01,415,1,f,f
104,13,2023-10-15,425,2,f,f
105,13,2023-11-01,435,1,f,f
106,19,2023-09-05,375,2,f,f
107,19,2023-09-20,395,1,f,f
108,19,2023-10-05,410,1,f,f
109,19,2023-10-20,420,2,f,f
110,19,2023-11-05,430,1,f,f
111,24,2023-10-01,380,2,f,f
112,24,2023-10-15,400,1,f,f
113,24,2023-11-01,415,1,f,f
114,24,2023-11-15,425,2,f,f
115,24,2023-12-01,435,1,f,f
116,29,2023-10-05,370,2,f,f
117,29,2023-10-20,390,1,f,f
118,29,2023-11-05,405,1,f,f
119,29,2023-11-20,415,2,f,f
120,29,2023-12-05,425,1,f,f
121,35,2023-11-01,375,2,f,f
122,35,2023-11-15,395,1,f,f
123,35,2023-12-01,410,1,f,f
124,35,2023-12-15,420,2,f,f
125,35,2024-01-05,430,1,f,f
126,40,2023-11-05,380,2,f,f
127,40,2023-11-20,400,1,f,f
128,40,2023-12-05,415,1,f,f
129,40,2023-12-20,425,2,f,f
130,40,2024-01-10,435,1,f,f
131,49,2023-12-01,385,2,f,f
132,49,2023-12-15,405,1,f,f
133,49,2024-01-05,420,1,f,f
134,49,2024-01-20,430,2,f,f
135,49,2024-02-05,440,1,f,f
136,12,2024-03-08,248,5,t,t
137,16,2024-03-07,228,5,t,t
138,17,2024-03-09,238,4,t,t
139,21,2024-03-08,308,3,t,t
140,22,2024-03-09,312,3,t,t
141,5,2024-03-12,498,2,f,f
142,10,2024-03-11,492,1,f,f
143,14,2024-03-13,502,2,f,f
144,15,2024-03-14,488,1,f,f
145,20,2024-03-12,510,2,f,f
146,25,2024-03-13,498,1,f,f
147,27,2024-03-14,505,2,f,f
148,4,2023-12-15,440,1,f,f
149,9,2023-12-10,430,1,f,f
150,49,2024-02-10,445,1,f,f
151,41,2024-01-08,230,5,t,t
152,41,2024-02-05,225,4,t,t
153,41,2024-03-01,235,5,t,t
154,37,2024-01-08,235,4,t,t
155,37,2024-02-05,240,5,t,t
156,37,2024-03-01,228,4,t,t
157,26,2024-01-08,228,5,t,t
158,26,2024-02-05,232,4,t,t
159,26,2024-03-01,240,5,t,t
160,32,2024-01-08,233,4,t,t
161,32,2024-02-05,238,5,t,t
162,32,2024-03-01,225,4,t,t
163,28,2024-01-08,225,5,t,t
164,28,2024-02-05,230,4,t,t
165,28,2024-03-01,235,5,t,t
166,38,2024-01-08,468,2,f,f
167,38,2024-02-05,490,1,f,f
168,38,2024-03-01,475,2,f,f
169,31,2024-01-08,472,2,f,f
170,31,2024-02-05,495,1,f,f
171,31,2024-03-01,480,2,f,f
172,18,2024-01-08,320,3,t,t
173,18,2024-02-05,335,3,f,f
174,18,2024-03-01,310,3,t,t
175,39,2024-01-08,315,3,t,t
176,39,2024-02-05,330,2,f,f
177,39,2024-03-01,325,3,t,t
178,42,2024-01-08,310,3,t,t
179,42,2024-02-05,325,3,f,f
180,42,2024-03-01,318,3,t,t
